"lon","lat","Ruído","N..Estações","Distância.min","mun"
-36.9364226937,-8.0103056997,-70.8028117639,2,18329.4747044575,"MONTEIRO"
-35.90103668,-7.744142392,-100,0,100,"SANTA CECÍLIA"
-35.9823539483,-7.6911707407,-71.1812099083,1,19145.6416583056,"ALCANTIL"
-35.9158530367,-7.6647810203,-100,0,100,"BARRA DE SANTANA"
-36.7644941843,-8.1395943591,-100,0,100,"SÃO JOÃO DO TIGRE"
-35.9214392571,-7.5877194775,-100,0,100,"BARRA DE SANTANA"
-36.9830371731,-8.1981128485,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-37.0310141487,-8.0207822393,-70.1751153834,14,17051.602495558,"MONTEIRO"
-36.944102453,-8.1742613102,-100,0,100,"SÃO JOÃO DO TIGRE"
-36.7438453257,-8.1303819076,-100,0,100,"SÃO JOÃO DO TIGRE"
-37.2816876884,-7.9623803436,-70.5017425722,14,17705.0256111533,"MONTEIRO"
-36.6814867418,-8.1253859571,-100,0,100,"SÃO JOÃO DO TIGRE"
-37.0973578606,-8.2021014889,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-37.0917657152,-8.2002681773,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-35.9701110373,-7.6151157394,-100,0,100,"BARRA DE SANTANA"
-37.1489997353,-8.0685897188,-71.3452609801,8,19510.6833119059,"ZABELÊ"
-36.7973834525,-8.1165128851,-100,0,100,"SÃO JOÃO DO TIGRE"
-37.0398958776,-8.2036888767,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-35.9633472996,-7.5756639564,-70.876858206,1,18486.3997935968,"BARRA DE SANTANA"
-37.1179399909,-8.0636240868,-70.9749770926,12,18696.4126718063,"ZABELÊ"
-37.0080849805,-8.1851667846,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-37.1331529595,-8.1477825875,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-37.0063262064,-8.0902353674,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.9650480519,-8.1442418914,-100,0,100,"SÃO SEBASTIÃO DO UMBUZEIRO"
-36.0158144899,-7.6116288612,-70.5727165282,4,17850.2892175794,"ALCANTIL"
-37.0122011353,-8.0096082411,-70.3503877303,14,17399.1814494884,"MONTEIRO"
-35.9403602198,-6.5515090565,-72.6674888463,8,22718.7207310193,"CUITÉ"
-35.9123603594,-6.637624126,-70.7853308036,2,18292.6224512428,"DAMIÃO"
-35.9250844358,-6.5440367645,-73.2741995677,8,24362.3629544219,"CUITÉ"
-35.9518999907,-6.5919140096,-70.8119352062,7,18348.7376433514,"DAMIÃO"
-35.9522664137,-7.194309254,-70.2501009152,6,17199.4467172156,"PUXINANÃ"
-35.9193873938,-6.5809319217,-72.2389963088,7,21625.1558546475,"DAMIÃO"
-35.9120381965,-7.1325207505,-70.1356611699,6,16974.324063563,"LAGOA SECA"
-35.9062557904,-6.7766523698,-70.3748352708,3,17448.2226412216,"BARRA DE SANTA ROSA"
-35.9330753327,-7.1713097851,-70.161249037,6,17024.4026570051,"PUXINANÃ"
-35.9619832013,-6.5367535749,-72.0770699904,12,21225.7444036349,"CUITÉ"
-35.9997949339,-6.5595065426,-70.7609533131,13,18241.3550427718,"CUITÉ"
